Elapsedmins, Nodes
5,1
2,128
4,256
4,1
14,1
59,1
59,1
59,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
57,1
57,1
57,1
57,1
56,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
52,1
51,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
51,1
52,1
52,1
52,1
51,1
29,1
30,1
29,1
29,1
30,1
29,1
30,1
29,1
29,1
30,1
31,1
29,1
30,1
29,1
30,1
31,1
29,1
29,1
30,1
30,1
29,1
29,1
30,1
30,1
29,1
31,1
29,1
29,1
30,1
29,1
30,1
30,1
29,1
29,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
29,1
29,1
29,1
25,64
7,16
7,16
1,16
4,80
4,40
4,40
8,100
1,1
1,1
3,1
1,1
1,1
1,1
3,1
3,1
1,1
3,1
1,1
3,1
3,1
2,1
1,1
1,1
1,1
1,1
3,1
2,1
3,1
3,1
3,1
3,1
2,1
1,1
1,1
2,1
3,1
3,1
3,1
3,1
1,1
2,1
3,1
3,1
2,1
3,1
3,1
3,1
2,1
3,1
2,1
3,1
3,1
2,1
3,1
3,1
3,1
2,1
1,1
3,1
1,1
3,1
2,1
3,1
2,1
3,1
3,1
3,1
3,1
2,1
3,1
3,1
4,1
2,1
3,1
2,1
3,1
3,1
3,1
3,1
2,1
3,1
3,1
3,1
2,1
3,1
2,1
4,1
3,1
3,1
4,1
2,1
3,1
3,1
3,1
2,1
3,1
2,1
3,1
3,1
3,1
4,1
2,1
3,1
3,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
