722,1000
588,1000
215,1000
1,1000
111,1000
1,1000
1,1000
569,1000
4767,1728
4560,1000
93,1000
201,1000
578,1000
722,1000
4239,1000
4911,1728
4104,1000
4339,1728
4329,1000
5161,1728
582,1000
4254,1000
5201,1728
4487,1000
3170,1728
0,1000
0,1000
4313,1000
1,1000
721,1000
114,1727
3957,1728
5151,1000
4608,1728
5005,1000
4010,1728
1,1000
5424,1728
4414,1000
4809,1000
726,1000
4508,1000
570,1000
217,1000
1631,1000
101,1000
1630,1000
0,1000
3339,1000
631,999
4323,1000
4662,1000
4533,1000
737,1000
4223,1000
96,1000
199,1000
571,1000
1540,1000
1561,1000
4688,1000
1316,1000
595,1000
4536,1000
4536,1000
4800,1000
9443,22
714,1000
98,1000
201,1000
4476,1000
605,1000
1595,1000
1594,1000
4448,1000
558,1000
1312,1000
5418,1000
1,1000
1,1000
289,1000
571,1000
1678,1000
1548,1000
572,1000
1307,1000
3748,22
918,7420
316,7420
1681,7420
5684,22
3023,44
2156,88
2068,44
1337,88
1240,242
2174,242
196,1000
26,102
55,75
55,76
55,74
56,75
57,74
56,74
56,78
62,73
56,75
57,74
56,71
57,76
53,10
65,101
58,102
59,101
59,101
60,100
60,99
60,101
60,103
64,101
60,102
61,103
60,104
60,104
60,103
60,102
61,104
64,103
61,102
60,104
60,104
59,101
58,84
61,78
63,100
61,90
63,104
62,97
63,99
62,98
63,95
62,93
63,103
71,103
70,104
62,102
63,104
63,103
64,103
62,104
63,102
72,92
112,95
64,99
64,104
66,62
64,103
63,104
52,12
59,61
70,103
62,104
64,103
62,89
61,75
68,78
61,79
61,80
61,80
60,80
68,80
60,77
1670,6676
1820,6379
561,1000
840,1000
123,1000
137,1000
0,1000
556,1000
1361,1000
477,2K
195,1000
587,1000
86,1000
717,1000
1545,1000
4253,3200
556,1000
390,6400
1308,1000
78,69
77,70
77,68
77,69
77,68
77,68
77,72
77,67
77,69
77,68
77,65
77,70
77,92
77,95
77,98
77,95
77,95
76,94
76,93
76,95
76,95
76,93
76,94
76,94
76,98
76,97
76,95
76,94
76,96
76,95
76,94
76,96
76,97
76,93
76,76
60,70
62,92
45,82
63,98
62,90
62,92
62,91
62,88
62,86
63,98
63,96
63,99
63,95
63,99
63,96
63,96
63,98
63,95
154,85
62,89
62,92
62,98
62,100
62,96
62,98
62,94
62,99
62,96
62,98
62,97
60,82
59,68
59,71
59,72
50,73
60,73
60,73
60,73
59,70
1801,6445
2906,6445
1,1000
0,1000
780,9261
128,9260
0,1000
0,1000
0,1000
111,2
0,256
30,16
157,16
94,16
221,16
221,16
92,16
403,16
3819,16
10,512
91,16
213,16
220,16
157,16
11,1
9,1
9,1
95,576
249,16
222,16
225,16
151,16
89,16
3,512
1792,8000
228,16
161,16
3626,1
2717,3375
81,16
222,16
189,16
161,16
707,16
155,8000
93,16
5,16
97,16
225,2
1312,8000
223,2
223,16
232,16
1112,8000
1251,8101
93,109
93,109
94,109
136,105
93,109
93,109
135,111
94,111
94,111
94,111
94,109
226,111
317,2070
758,3375
2364,3375
3934,1000
3937,1000
906,3375
569,8000
3529,1728
634,3374
2655,3375
726,1000
593,1000
220,1000
1565,1000
94,1000
1603,1000
1319,1000
698,1000
0,512
0,512
3977,1000
2946,1000
398,5832
5,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
3,1
4,1
3,1
7,1
6,1
4,1
5,1
3,1
3,1
5,1
3,1
3,1
4,1
4,1
4,1
4,1
4,1
3,1
3,1
3,1
4,1
4,1
17,1
6,1
4,1
5,1
35,1
24,1
6,1
4,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
15,1
4,1
6,1
15,1
17,1
4,1
15,1
6,1
6,1
13,1
16,1
6,1
4,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
117,1
