Elapsedmins, Nodes
103,2500
7,4K
75,2500
96,2500
102,2500
75,2500
96,2500
75,2500
97,2500
75,2500
99,2304
109,2304
696,992
712,992
714,2136
714,2136
5,2136
107,2304
111,2304
124,2304
9,2304
588,1500
646,1500
17,7500
7,2304
712,2136
713,2136
19,7000
9,2304
402,512
399,512
13,1K
3,1K
3,2K
52,150
17,150
11,150
13,150
14,150
1,150
25,150
87,150
312,150
27,150
96,150
99,150
91,150
358,150
238,150
33,150
10,150
29,150
184,150
20,150
9,150
311,150
242,150
178,150
2,150
285,150
286,150
356,150
279,150
120,150
47,150
131,150
213,150
255,150
6,150
39,150
4,150
256,150
128,150
71,150
131,150
105,150
26,150
3,150
9,2304
153,768
265,256
344,128
6,2304
232,200
233,200
357,160
355,160
356,160
356,160
356,160
356,160
356,160
356,160
357,160
234,200
230,200
231,200
7,2304
1,320
701,184
218,300
7,2304
43,256
319,92
13,128
141,100
233,100
84,2K
91,32
90,32
89,32
90,32
77,32
85,32
92,32
91,32
90,32
81,32
77,32
85,32
84,32
92,32
90,32
89,32
79,32
77,32
114,32
91,32
89,32
90,32
93,32
80,32
82,32
87,32
88,32
100,32
89,32
79,32
77,32
79,32
85,32
8,2304
225,120
467,240
346,150
50,256
15,256
13,256
15,256
13,256
13,256
11,256
9,256
119,1
5,10
114,1
17,1
1,1
2,16
1,1
1,4
2,16
1,1
2,4
2,16
3,1
2,1
4,1
4,1
5,1
97,1
2,1
20,1
3,32
39,32
9,24
81,1
81,1
80,1
83,1
84,1
34,1
81,1
81,1
81,1
85,1
81,1
81,1
83,1
83,1
83,1
81,1
83,1
83,1
81,1
82,1
82,1
95,96
2,1
1,2
2,2
2,16
3,1
8,4
8,4
18,16
118,3
96,96
52,1
69,4
76,16
76,16
76,16
75,16
1,16
1,2
2,4
2,2
18,16
103,3
95,96
31,5
114,1
61,1
98,96
6,2304
18,1
1,1
3,16
3,1
5,4
18,16
3,1
5,4
16,16
3,1
3,1
3,1
4,1
4,1
5,1
1,18
3,18
116,2
96,96
1,2
1,4
1,8
1,16
1,32
44,1
35,1
27,3
118,1
118,1
118,1
27,2
27,2
112,8
111,8
45,2
96,96
231,200
231,200
235,200
233,200
222,300
227,300
221,300
219,300
16,2
116,2
112,8
115,10
71,1
111,8
6,1
98,96
8,2304
101,96
10,2304
103,1
4,1
4,1
43,40
50,40
45,40
34,40
62,40
59,40
63,40
46,40
21,40
55,40
27,40
61,40
54,40
75,40
68,40
38,40
70,40
42,40
41,40
76,40
70,40
74,40
52,40
53,40
69,40
51,40
52,40
48,40
67,40
70,40
76,40
1,183
1,183
1,183
1,183
1,183
1,183
1,183
1,183
76,68
80,68
78,68
77,68
