Elapsedmins, Nodes
5,4
4,1
5,4
5,16
1,1
3,1
3,1
4,1
3,1
5,1
5,1
38,1K
13,1152
25,256
23,256
23,256
23,256
6,256
31,256
31,256
9,256
18,256
15,256
16,256
16,3844
1,59
1,90
1,80
1,83
7,16
1,487
3,233
13,1
67,49
150,7
7,1152
10,1152
5,1
7,1
7,1
7,165
1,731
1,893
1,960
1,659
1,1277
1,1
2,1936
2,2057
2,3658
19,4
19,4
4,1
5,4
6,16
3,1
2,1
4,1
3,1
4,1
5,1
2,64
1,64
4,1
1,75
1,1K
15,200
13,196
9,8
9,8
1,1
13,8
11,1
126,64
146,64
128,64
16,6
16,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
5,16
5,16
5,16
17,4
114,64
5,256
1,1
5,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
2,150
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
4,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
65,4
18,4
77,256
58,256
128,64
129,64
1,1
143,64
3,512
1,512
1,256
40,64
32,64
24,4
38,16
4,8
8,256
11,64
11,64
11,64
1,55
2,4
2,240
5,1K
10,1152
5,3
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
14,17
33,2
5,2
18,1
1,1
6,16
6,1
8,4
6,1
8,4
8,16
4,1
5,1
5,1
6,1
5,1
7,1
7,1
2,32
13,1
4,3
34,2K
1,2
62,1K
169,95
164,88
1,238
1,629
1,489
1,920
1,860
1,429
1,344
3,646
2,602
4,2329
4,2329
1,60
1,60
1,59
1,64
1,53
1,60
1,65
1,59
1,62
1,47
1,57
1,61
1,58
1,69
1,57
1,45
1,55
1,65
1,55
1,55
1,50
1,64
1,64
1,62
1,50
1,63
1,63
1,61
1,65
1,58
1,69
1,64
1,59
1,50
1,62
1,63
1,52
1,61
1,50
1,60
1,60
1,59
1,64
1,53
1,60
1,65
1,59
1,62
1,61
1,58
1,71
1,57
1,45
1,55
1,65
1,55
1,58
1,50
1,64
1,61
1,60
1,47
1,59
1,60
1,61
1,65
1,58
1,69
1,64
1,59
1,69
1,63
47,69
1,69
1,56
1,64
1,53
1,60
1,65
1,59
1,62
1,47
1,59
1,55
1,71
1,57
1,65
1,58
1,64
1,64
1,62
1,58
1,69
1,64
1,59
1,62
1,63
1,163
8,425
6,335
12,602
1,144
2,238
9,489
1,217
9,3354
111,1K
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
2,32
11,64
6,1
1,81
1,88
11,64
1,93
1,82
7,195
2,5
1,421
1,328
2,657
2,701
1,171
3,4
3,4
7,128
7,128
10,512
20,8
2,32
2,1
1,6
1,8
20,8
28,20
20,512
1,1
1,1
1,1
2,2
4,8
8,32
3,1
1,1
9,8
21,256
19,639
1,321
11,64
11,64
12,64
2,1
3,32
4,128
4,128
5,256
16,1
107,1K
34,1K
1,87
1,89
1,84
1,36
1,92
1,79
1,85
1,87
1,91
1,87
1,77
1,78
1,87
1,82
1,96
1,81
1,85
1,71
1,93
1,80
