Elapsedmins, Nodes
12,1000
9,1000
3,1000
1,1000
9,1000
79,1728
76,1000
1,1000
3,1000
9,1000
12,1000
70,1000
81,1728
68,1000
72,1728
72,1000
86,1728
9,1000
70,1000
86,1728
74,1000
52,1728
71,1000
12,1000
1,1727
65,1728
85,1000
76,1728
83,1000
66,1728
73,1000
80,1000
12,1000
75,1000
9,1000
3,1000
27,1000
1,1000
27,1000
55,1000
10,999
72,1000
77,1000
75,1000
12,1000
70,1000
1,1000
3,1000
9,1000
25,1000
26,1000
78,1000
21,1000
9,1000
75,1000
75,1000
80,1000
11,1000
1,1000
3,1000
74,1000
10,1000
26,1000
26,1000
74,1000
9,1000
21,1000
4,1000
9,1000
27,1000
25,1000
9,1000
21,1000
28,7420
3,1000
1,73
1,101
1,100
1,99
1,101
1,103
1,101
1,102
1,103
1,104
1,104
1,103
1,102
1,104
1,103
1,102
1,104
1,104
1,78
1,100
1,90
1,104
1,97
1,99
1,98
1,95
1,93
1,103
1,103
1,104
1,102
1,104
1,103
1,103
1,104
1,102
1,92
1,95
1,99
1,104
1,62
1,103
1,104
1,103
1,104
1,103
1,89
1,75
1,78
1,79
1,80
1,80
1,80
1,80
1,77
9,1000
14,1000
2,1000
9,1000
22,1000
7,2K
3,1000
9,1000
1,1000
11,1000
25,1000
70,3200
9,1000
21,1000
1,69
1,70
1,68
1,69
1,68
1,68
1,72
1,67
1,69
1,68
1,65
1,70
1,92
1,95
1,98
1,95
1,95
1,94
1,93
1,95
1,95
1,93
1,94
1,94
1,98
1,97
1,95
1,94
1,96
1,95
1,94
1,96
1,97
1,93
1,76
1,70
1,92
1,98
1,90
1,92
1,91
1,88
1,86
1,98
1,96
1,99
1,95
1,99
1,96
1,96
1,98
1,95
2,85
1,89
1,92
1,98
1,100
1,96
1,98
1,94
1,99
1,96
1,98
1,97
1,82
1,73
1,73
1,73
48,6445
13,9261
2,9260
1,2
2,16
1,16
3,16
3,16
1,16
63,16
1,16
3,16
3,16
2,16
4,16
3,16
3,16
2,16
1,16
29,8000
3,16
2,16
3,16
3,16
2,16
11,16
2,8000
1,16
1,16
3,2
21,8000
3,2
3,16
3,16
18,8000
20,8101
1,109
1,109
1,109
2,105
1,109
1,109
2,111
1,111
1,111
1,111
1,109
3,111
5,2070
12,3375
39,3375
65,1000
65,1000
15,3375
9,8000
58,1728
10,3374
44,3375
12,1000
9,1000
3,1000
26,1000
1,1000
26,1000
21,1000
11,1000
66,1000
49,1000
6,5832
1,1
2,4
4,2
5,4
2,1
2,4
6,2
7,4
1,16
2,16
2,1
3,8000
1,1
13,1
10,7999
40,3375
10,4K
4,1
12,1
13,1
10,999
39,3375
1,5831
13,7999
39,512
66,1000
3,1
7,1000
12,1000
3,1000
1,1000
10,1000
9,1000
26,1000
59,4K
21,1000
11,999
2,3374
43,3375
10,4095
3,4K
39,3375
14,1
1,576
1,576
11,4095
39,3375
51,5832
52,1000
4,1000
1,1000
9,1000
6,2
32,2
21,1000
15,1K
9,1000
26,1000
12,1000
3,1000
23,1000
9,1000
12,3375
39,3375
2,1
1,1
2,1
3,1
1,1
4,1
2,64
1,127
1,120
1,124
1,126
1,124
1,128
1,124
1,124
2,128
2,126
1,127
3,126
230,1
230,1
21,1000
25,1000
2,16
